127.0.0.1, 2013-11-05 23:55:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000235
127.0.0.1, 2013-11-05 23:55:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000218
127.0.0.1, 2013-11-05 23:55:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000415
127.0.0.1, 2013-11-05 23:55:25, GET, /admin/default/peek/HelloWorld/controllers/default.py, HTTP/1.1, 200, 0.041679
127.0.0.1, 2013-11-05 23:55:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000443
127.0.0.1, 2013-11-05 23:55:55, GET, /HelloWorld, HTTP/1.1, 200, 0.030360
127.0.0.1, 2013-11-05 23:57:21, GET, /admin/default/design/HelloWorld, HTTP/1.1, 200, 0.098666
127.0.0.1, 2013-11-05 23:57:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000455
127.0.0.1, 2013-11-05 23:57:28, GET, /admin/default/edit/HelloWorld/controllers/default.py, HTTP/1.1, 200, 0.050028
127.0.0.1, 2013-11-05 23:57:28, GET, /admin/static/_2.7.3/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.000660
127.0.0.1, 2013-11-05 23:57:28, GET, /admin/static/_2.7.3/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.000637
127.0.0.1, 2013-11-05 23:57:28, GET, /admin/static/_2.7.3/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.000594
127.0.0.1, 2013-11-05 23:57:28, GET, /admin/static/_2.7.3/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.000541
127.0.0.1, 2013-11-05 23:57:28, GET, /admin/static/_2.7.3/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.001120
127.0.0.1, 2013-11-05 23:57:28, GET, /admin/static/_2.7.3/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.000645
127.0.0.1, 2013-11-05 23:57:28, GET, /admin/static/_2.7.3/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.000626
127.0.0.1, 2013-11-05 23:57:28, GET, /admin/static/_2.7.3/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.000638
127.0.0.1, 2013-11-05 23:57:28, GET, /admin/static/_2.7.3/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.000727
127.0.0.1, 2013-11-05 23:57:28, GET, /admin/static/_2.7.3/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.000678
127.0.0.1, 2013-11-05 23:57:28, GET, /admin/static/_2.7.3/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.000617
127.0.0.1, 2013-11-05 23:57:28, GET, /admin/static/_2.7.3/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.000632
127.0.0.1, 2013-11-05 23:57:28, GET, /admin/static/_2.7.3/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.000879
127.0.0.1, 2013-11-05 23:57:28, GET, /admin/static/_2.7.3/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.000900
127.0.0.1, 2013-11-05 23:57:29, GET, /admin/static/_2.7.3/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.000789
127.0.0.1, 2013-11-05 23:57:29, GET, /admin/static/_2.7.3/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.000490
127.0.0.1, 2013-11-05 23:57:29, GET, /admin/static/_2.7.3/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.000630
127.0.0.1, 2013-11-05 23:57:29, GET, /admin/static/_2.7.3/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.000473
127.0.0.1, 2013-11-05 23:57:29, GET, /admin/static/_2.7.3/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.000554
127.0.0.1, 2013-11-05 23:57:29, GET, /admin/static/_2.7.3/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.000534
127.0.0.1, 2013-11-05 23:57:29, GET, /admin/static/_2.7.3/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.000615
127.0.0.1, 2013-11-05 23:57:29, GET, /admin/static/_2.7.3/codemirror/emmet.min.js, HTTP/1.1, 200, 0.000723
127.0.0.1, 2013-11-05 23:57:29, GET, /admin/static/js/ajax_editor.js, HTTP/1.1, 200, 0.000681
127.0.0.1, 2013-11-05 23:57:29, GET, /admin/static/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.000716
127.0.0.1, 2013-11-05 23:57:29, GET, /admin/static/css/web2py-codemirror.css, HTTP/1.1, 200, 0.000702
127.0.0.1, 2013-11-05 23:57:29, GET, /admin/static/_2.7.3/js/typeahead.min.js, HTTP/1.1, 200, 0.000720
127.0.0.1, 2013-11-05 23:57:29, GET, /admin/static/_2.7.3/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000444
127.0.0.1, 2013-11-05 23:57:29, GET, /admin/static/_2.7.3/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000622
127.0.0.1, 2013-11-05 23:57:29, GET, /admin/static/_2.7.3/images/files_toggle.png, HTTP/1.1, 200, 0.000766
127.0.0.1, 2013-11-05 23:57:29, GET, /admin/default/edit/HelloWorld/controllers/default.py, HTTP/1.1, 200, 0.068134
127.0.0.1, 2013-11-05 23:57:29, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.000451
127.0.0.1, 2013-11-05 23:57:29, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.235340
127.0.0.1, 2013-11-05 23:57:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000473
127.0.0.1, 2013-11-05 23:58:13, POST, /admin/default/edit/HelloWorld/controllers/default.py, HTTP/1.1, 200, 0.045345
127.0.0.1, 2013-11-05 23:58:20, GET, /HelloWorld, HTTP/1.1, 200, 0.161262
127.0.0.1, 2013-11-05 23:58:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000702
127.0.0.1, 2013-11-05 23:58:26, GET, /admin/default/site, HTTP/1.1, 200, 0.055807
127.0.0.1, 2013-11-05 23:58:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000310
127.0.0.1, 2013-11-05 23:58:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000419
127.0.0.1, 2013-11-05 23:58:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000422
127.0.0.1, 2013-11-05 23:58:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000296
127.0.0.1, 2013-11-05 23:58:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000546
127.0.0.1, 2013-11-05 23:58:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000504
127.0.0.1, 2013-11-05 23:58:32, POST, /admin/default/edit/HelloWorld/controllers/default.py, HTTP/1.1, 200, 0.039532
127.0.0.1, 2013-11-05 23:58:33, POST, /admin/default/edit/HelloWorld/controllers/default.py, HTTP/1.1, 200, 0.033906
127.0.0.1, 2013-11-05 23:58:34, POST, /admin/default/edit/HelloWorld/controllers/default.py, HTTP/1.1, 200, 0.035332
127.0.0.1, 2013-11-05 23:58:34, POST, /admin/default/edit/HelloWorld/controllers/default.py, HTTP/1.1, 200, 0.042191
127.0.0.1, 2013-11-05 23:58:35, POST, /admin/default/edit/HelloWorld/controllers/default.py, HTTP/1.1, 200, 0.040848
127.0.0.1, 2013-11-05 23:58:35, POST, /admin/default/edit/HelloWorld/controllers/default.py, HTTP/1.1, 200, 0.032916
127.0.0.1, 2013-11-06 10:38:24, GET, /, HTTP/1.1, 303, 0.001299
127.0.0.1, 2013-11-06 10:38:25, GET, /welcome/default/index, HTTP/1.1, 200, 0.519534
127.0.0.1, 2013-11-06 10:38:25, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000640
127.0.0.1, 2013-11-06 10:38:25, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000546
127.0.0.1, 2013-11-06 10:38:25, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000833
127.0.0.1, 2013-11-06 10:38:25, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000614
127.0.0.1, 2013-11-06 10:38:25, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000618
127.0.0.1, 2013-11-06 10:38:25, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.001638
127.0.0.1, 2013-11-06 10:38:25, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000803
127.0.0.1, 2013-11-06 10:38:25, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000622
127.0.0.1, 2013-11-06 10:38:25, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000807
127.0.0.1, 2013-11-06 10:38:25, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.001248
127.0.0.1, 2013-11-06 10:38:25, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000600
127.0.0.1, 2013-11-06 10:38:25, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000581
127.0.0.1, 2013-11-06 10:38:26, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000640
127.0.0.1, 2013-11-06 10:38:26, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000571
127.0.0.1, 2013-11-06 10:38:26, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000420
127.0.0.1, 2013-11-06 10:38:28, GET, /admin/default/index, HTTP/1.1, 200, 0.312262
127.0.0.1, 2013-11-06 10:38:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000435
127.0.0.1, 2013-11-06 10:38:33, POST, /admin/default/index, HTTP/1.1, 303, 0.039172
